,MovieName,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,GrossCollection,Popularity,Certification
0,Spider-Man: Across the Spider-Verse,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,89734,Animation,Action,Adventure,,2,PG
1,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,2722434,Action,Crime,Drama,534.86M,105,PG-13
2,The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,1889394,Action,Adventure,Drama,377.85M,338,PG-13
3,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,2416430,Action,Adventure,Sci-Fi,292.58M,101,PG-13
4,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,1917992,Action,Adventure,Drama,315.54M,154,PG-13
5,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,1705289,Action,Adventure,Drama,342.55M,636,PG-13
6,The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1960367,Action,Sci-Fi,,171.48M,209,R
7,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,1322836,Action,Adventure,Fantasy,290.48M,665,PG
8,Soorarai Pottru,Suriya,Paresh Rawal,Urvashi,119582,Action,Drama,,,,TV-MA
9,Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,Carrie Fisher,1395230,Action,Adventure,Fantasy,322.74M,247,PG
10,Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,1124432,Action,Sci-Fi,,204.84M,363,R
11,Seven Samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,353196,Action,Drama,,0.27M,"1,483",Not Rated
12,Harakiri,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,61157,Action,Drama,Mystery,,"3,146",Not Rated
13,Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,60209,Action,Drama,Mystery,,,U
14,Léon: The Professional,Jean Reno,Gary Oldman,Natalie Portman,1190883,Action,Crime,Drama,19.50M,224,R
15,Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,1537972,Action,Adventure,Drama,187.71M,243,R
16,Spider-Man: Into the Spider-Verse,Shameik Moore,Jake Johnson,Hailee Steinfeld,579070,Animation,Action,Adventure,190.24M,15,PG
17,Indiana Jones and the Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,988330,Action,Adventure,,248.16M,73,PG
18,Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo,1182892,Action,Adventure,Drama,858.37M,128,PG-13
19,Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,1126098,Action,Adventure,Sci-Fi,678.82M,263,PG-13
20,Oldboy,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,597227,Action,Drama,Mystery,0.71M,314,R
21,The Dark Knight Rises,Christian Bale,Tom Hardy,Anne Hathaway,1743816,Action,Drama,Thriller,448.14M,368,PG-13
22,Aliens,Sigourney Weaver,Michael Biehn,Carrie Henn,733233,Action,Adventure,Sci-Fi,85.16M,401,R
23,Kaithi,Karthi,Narain,Arjun Das,36215,Action,Adventure,Crime,,"4,362",Not Rated
24,Asuran,Dhanush,Manju Warrier,Prakash Raj,31241,Action,Drama,,,,Not Rated
25,Top Gun: Maverick,Tom Cruise,Jennifer Connelly,Miles Teller,593661,Action,Drama,,718.73M,41,PG-13
26,Heat,Al Pacino,Robert De Niro,Val Kilmer,677721,Action,Crime,Drama,67.44M,79,R
27,North by Northwest,Cary Grant,Eva Marie Saint,James Mason,334903,Action,Adventure,Mystery,13.28M,336,Approved
28,Star Wars: Episode VI - Return of the Jedi,Mark Hamill,Harrison Ford,Carrie Fisher,1078901,Action,Adventure,Fantasy,309.13M,427,PG
29,Princess Mononoke,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,407363,Animation,Action,Adventure,2.38M,"1,386",PG-13
30,Kantara,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,95667,Action,Adventure,Drama,,"3,609",Not Rated
31,Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,197601,Action,Biography,Drama,12.39M,"4,661",Not Rated
32,Raatchasan,Vishnu Vishal,Amala Paul,Radha Ravi,47020,Action,Crime,Drama,,,Not Rated
33,K.G.F: Chapter 2,Yash,Sanjay Dutt,Raveena Tandon,139793,Action,Crime,Drama,6.60M,,Not Rated
34,Vikram,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,63983,Action,Crime,Thriller,,,UA
35,Shershaah,Sidharth Malhotra,Kiara Advani,Shiv Panditt,124900,Action,Biography,Drama,,,TV-14
36,Guardians of the Galaxy Vol. 3,Chris Pratt,Chukwudi Iwuji,Bradley Cooper,163672,Action,Adventure,Comedy,,6,PG-13
37,Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch,800212,Action,Adventure,Fantasy,804.75M,84,PG-13
38,Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum,1015241,Action,Adventure,Sci-Fi,402.45M,140,PG-13
39,Indiana Jones and the Last Crusade,Harrison Ford,Sean Connery,Alison Doody,772365,Action,Adventure,,197.17M,195,PG-13
40,1917,Dean-Charles Chapman,George MacKay,Daniel Mays,622429,Action,Drama,War,159.23M,420,R
41,Batman Begins,Christian Bale,Michael Caine,Ken Watanabe,1505072,Action,Crime,Drama,206.85M,493,PG-13
42,Kill Bill: Vol. 1,Uma Thurman,David Carradine,Daryl Hannah,1142007,Action,Crime,Drama,70.10M,530,R
43,Die Hard,Bruce Willis,Alan Rickman,Bonnie Bedelia,902129,Action,Thriller,,83.01M,617,R
44,V for Vendetta,Hugo Weaving,Natalie Portman,Rupert Graves,1141723,Action,Drama,Sci-Fi,70.51M,"1,034",R
45,Demon Slayer the Movie: Mugen Train,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,64672,Animation,Action,Adventure,47.70M,"2,048",R
46,Ran,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,129353,Action,Drama,War,4.14M,"2,565",R
47,Gangs of Wasseypur,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,99447,Action,Comedy,Crime,,"4,385",Not Rated
48,Vikram Vedha,Madhavan,Vijay Sethupathi,Shraddha Srinath,47772,Action,Crime,Drama,,"4,613",Not Rated
49,Yojimbo,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,125999,Action,Drama,Thriller,,"4,897",Not Rated
50,Uri: The Surgical Strike,Vicky Kaushal,Paresh Rawal,Mohit Raina,67501,Action,Drama,History,4.19M,,Not Rated
51,Baahubali 2: The Conclusion,Prabhas,Rana Daggubati,Anushka Shetty,106882,Action,Drama,,20.19M,,Not Rated
52,K.G.F: Chapter 1,Yash,Srinidhi Shetty,Ramachandra Raju,91718,Action,Crime,Drama,,,Not Rated
53,Rangasthalam 1985,Ram Charan,Samantha Ruth Prabhu,Aadhi,26177,Action,Drama,,3.51M,,Not Rated
54,Sherlock Jr.,Buster Keaton,Kathryn McGuire,Joe Keaton,52553,Action,Comedy,Romance,0.98M,,Passed
55,The Mountain II,Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe,109207,Action,Drama,War,,,
56,Paan Singh Tomar,Irrfan Khan,Mahie Gill,Rajesh Abhay,37067,Action,Biography,Crime,0.04M,,Not Rated
57,Mad Max: Fury Road,Tom Hardy,Charlize Theron,Nicholas Hoult,1031493,Action,Adventure,Sci-Fi,154.06M,163,R
58,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Geoffrey Rush,Orlando Bloom,1155021,Action,Adventure,Fantasy,305.41M,269,PG-13
59,Blade Runner,Harrison Ford,Rutger Hauer,Sean Young,788857,Action,Drama,Sci-Fi,32.87M,290,R
