,Sno,MovieName,Director1,Director2,Director3,Duration,Genre1,Genre2,Genre3,Ratings
0,1,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140,Animation,Action,Adventure,9.0
1,2,The Dark Knight,Christopher Nolan,,,152,Action,Crime,Drama,9.0
2,3,The Lord of the Rings: The Return of the King,Peter Jackson,,,201,Action,Adventure,Drama,9.0
3,4,Inception,Christopher Nolan,,,148,Action,Adventure,Sci-Fi,8.8
4,5,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,,,178,Action,Adventure,Drama,8.8
5,6,The Lord of the Rings: The Two Towers,Peter Jackson,,,179,Action,Adventure,Drama,8.8
6,7,The Matrix,Lana Wachowski,Lilly Wachowski,,136,Action,Sci-Fi,,8.7
7,8,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,,,124,Action,Adventure,Fantasy,8.7
8,9,Soorarai Pottru,Sudha Kongara,,,153,Action,Drama,,8.7
9,10,Star Wars: Episode IV - A New Hope,George Lucas,,,121,Action,Adventure,Fantasy,8.6
10,11,Terminator 2: Judgment Day,James Cameron,,,137,Action,Sci-Fi,,8.6
11,12,Seven Samurai,Akira Kurosawa,,,207,Action,Drama,,8.6
12,13,Harakiri,Masaki Kobayashi,,,133,Action,Drama,Mystery,8.6
13,14,Sita Ramam,Hanu Raghavapudi,,,163,Action,Drama,Mystery,8.6
14,15,Léon: The Professional,Luc Besson,,,110,Action,Crime,Drama,8.5
15,16,Gladiator,Ridley Scott,,,155,Action,Adventure,Drama,8.5
16,17,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117,Animation,Action,Adventure,8.4
17,18,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,,,115,Action,Adventure,,8.4
18,19,Avengers: Endgame,Anthony Russo,Joe Russo,,181,Action,Adventure,Drama,8.4
19,20,Avengers: Infinity War,Anthony Russo,Joe Russo,,149,Action,Adventure,Sci-Fi,8.4
20,21,Oldboy,Park Chan-wook,,,101,Action,Drama,Mystery,8.4
21,22,The Dark Knight Rises,Christopher Nolan,,,164,Action,Drama,Thriller,8.4
22,23,Aliens,James Cameron,,,137,Action,Adventure,Sci-Fi,8.4
23,24,Kaithi,Lokesh Kanagaraj,,,145,Action,Adventure,Crime,8.4
24,25,Asuran,Vetrimaaran,,,141,Action,Drama,,8.4
25,26,Top Gun: Maverick,Joseph Kosinski,,,130,Action,Drama,,8.3
26,27,Heat,Michael Mann,,,170,Action,Crime,Drama,8.3
27,28,North by Northwest,Alfred Hitchcock,,,136,Action,Adventure,Mystery,8.3
28,29,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,,,131,Action,Adventure,Fantasy,8.3
29,30,Princess Mononoke,Hayao Miyazaki,,,134,Animation,Action,Adventure,8.3
30,31,Kantara,Rishab Shetty,,,148,Action,Adventure,Drama,8.3
31,32,Dangal,Nitesh Tiwari,,,161,Action,Biography,Drama,8.3
32,33,Raatchasan,Ram Kumar,,,170,Action,Crime,Drama,8.3
33,34,K.G.F: Chapter 2,Prashanth Neel,,,168,Action,Crime,Drama,8.3
34,35,Vikram,Lokesh Kanagaraj,,,175,Action,Crime,Thriller,8.3
35,36,Shershaah,Vishnuvardhan,,,135,Action,Biography,Drama,8.3
36,37,Guardians of the Galaxy Vol. 3,James Gunn,,,150,Action,Adventure,Comedy,8.2
37,38,Spider-Man: No Way Home,Jon Watts,,,148,Action,Adventure,Fantasy,8.2
38,39,Jurassic Park,Steven Spielberg,,,127,Action,Adventure,Sci-Fi,8.2
39,40,Indiana Jones and the Last Crusade,Steven Spielberg,,,127,Action,Adventure,,8.2
40,41,1917,Sam Mendes,,,119,Action,Drama,War,8.2
41,42,Batman Begins,Christopher Nolan,,,140,Action,Crime,Drama,8.2
42,43,Kill Bill: Vol. 1,Quentin Tarantino,,,111,Action,Crime,Drama,8.2
43,44,Die Hard,John McTiernan,,,132,Action,Thriller,,8.2
44,45,V for Vendetta,James McTeigue,,,132,Action,Drama,Sci-Fi,8.2
45,46,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,,,117,Animation,Action,Adventure,8.2
46,47,Ran,Akira Kurosawa,,,162,Action,Drama,War,8.2
47,48,Gangs of Wasseypur,Anurag Kashyap,,,321,Action,Comedy,Crime,8.2
48,49,Vikram Vedha,Gayatri,Pushkar,Gowtham Selvaraj,147,Action,Crime,Drama,8.2
49,50,Yojimbo,Akira Kurosawa,,,110,Action,Drama,Thriller,8.2
50,51,Uri: The Surgical Strike,Aditya Dhar,,,138,Action,Drama,History,8.2
51,52,Baahubali 2: The Conclusion,S.S. Rajamouli,,,167,Action,Drama,,8.2
52,53,K.G.F: Chapter 1,Prashanth Neel,,,156,Action,Crime,Drama,8.2
53,54,Rangasthalam 1985,Sukumar,,,170,Action,Drama,,8.2
54,55,Sherlock Jr.,Buster Keaton,,,45,Action,Comedy,Romance,8.2
